"folder","analysis","run_on","outcome_num","outcome","rr","lcl","ucl","events_1","total_1","events_2","total_2","power","power_pct","p1_pct","p2_pct","analysis_short","outcome_short"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",1,"SUD",0.859698155394075,0.804859971289169,0.918272674443191,1538,25559,1789,25559,0.994473897413024,99.4473897413024,6.01744982198052,6.99949137290191,"2x 5 year","SUD"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",2,"Alcohol Related Disorder",0.939597315436242,0.798907970660246,1.10506234459694,280,25559,298,25559,0.113716015062373,11.3716015062373,1.09550451895614,1.16592980946046,"2x 5 year","Alcohol"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",3,"cannabis related disorde",0.950666666666667,0.859302999301177,1.05174439266021,713,25559,750,25559,0.163917203083763,16.3917203083763,2.78962400719903,2.93438710434681,"2x 5 year","Cannabis"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",4,"Mood affect disorder",1.0726242595931,1.03042352391963,1.11655331575813,4165,25559,3883,25559,0.928507171547733,92.8507171547733,16.2956297194726,15.1923001682382,"2x 5 year","Mood"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",5,"Anxiety",1.10801642563828,1.07345343197996,1.14369227663631,6206,25559,5601,25559,0.999994356293835,99.9994356293835,24.281075159435,21.9140028952619,"2x 5 year","Anxiety"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",6,"ADHD",1.08975676601576,1.03956715364947,1.14236949956343,3181,25559,2919,25559,0.946829546633221,94.6829546633221,12.4457138385696,11.4206346101178,"2x 5 year","ADHD"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",7,"Psychosis",0.769230769230769,0.575034929037416,1.02900875486272,80,25559,104,25559,0.425644765305021,42.5644765305021,0.313001291130326,0.406901678469424,"2x 5 year","Psychosis"
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",8,"opioid related disorder",0.7625,0.546695382164692,1.0634921548045,61,25559,80,25559,0.360294035710775,36.0294035710775,0.238663484486873,0.313001291130326,"2x 5 year","Opioid"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",1,"SUD",0.985254691689008,0.892960996327883,1.0870875788384,735,10943,746,10943,0.0480620921185602,4.80620921185602,6.7166224984008,6.81714337932925,"3x 5 year","SUD"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",2,"Alcohol Related Disorder",1.1869918699187,0.935199984671058,1.50657583655614,146,10943,123,10943,0.291517851105249,29.1517851105249,1.33418623777757,1.12400621401809,"3x 5 year","Alcohol"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",3,"cannabis related disorde",1.05688622754491,0.912175930474237,1.2245537956624,353,10943,334,10943,0.110583347528703,11.0583347528703,3.2258064516129,3.05217947546377,"3x 5 year","Cannabis"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",4,"Mood affect disorder",1.01367088607595,0.958244465270899,1.07230326134732,2002,10943,1975,10943,0.0685503515582742,6.85503515582742,18.2948003289774,18.0480672576076,"3x 5 year","Mood"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",5,"Anxiety",1.04817569961034,1.00281733591479,1.09558566441356,2959,10943,2823,10943,0.549776634852532,54.9776634852532,27.0401169697524,25.7973133510006,"3x 5 year","Anxiety"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",6,"ADHD",1.02894356005789,0.960214121297751,1.10259245964193,1422,10943,1382,10943,0.124867578621349,12.4867578621349,12.9946084254775,12.629077949374,"3x 5 year","ADHD"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",7,"Psychosis",1.8,1.04269779757512,3.10732410439045,36,10943,20,10943,0.571771287156535,57.1771287156535,0.328977428493101,0.182765238051723,"3x 5 year","Psychosis"
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",8,"opioid related disorder",1,0.622114722842273,1.60742056614779,34,10943,34,10943,0.025,2.5,0.310700904687928,0.310700904687928,"3x 5 year","Opioid"
